Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,Orbis ID number,Company name Latin alphabet,real_costs_of_goods_sold,real_tangible_fixed_assets
12153936,ABOITIZ POWER CORPORATION,2017,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",357,2421395.466,1280969.649,4086799.592,2511971.488,1328886.29,4239672.617
12153936,ABOITIZ POWER CORPORATION,2018,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",383,2532550.711,1359538.371,3928200.077,2532550.711,1359538.371,3928200.077
12153936,ABOITIZ POWER CORPORATION,2019,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",428,2521510.558,1406311.089,4128989.942,2504055.382,1396575.889,4100406.977
12153936,ABOITIZ POWER CORPORATION,2020,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",370,2384331.324,1142291.35,4235390.888,2329379.59,1115964.938,4137777.746
12153936,ABOITIZ POWER CORPORATION,2021,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",457,2688147.391,1477059.291,4002832.728,2567588.938,1410815.906,3823313.062
12153936,ABOITIZ POWER CORPORATION,2022,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",549,3502712.449,2316437.32,3685986.968,3171547.187,2097428.885,3337493.948
12153936,ABOITIZ POWER CORPORATION,2023,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",3681,3814500.596,2437305.748,3774306.506,3301921.499,2109789.223,3267128.549
12153936,ABOITIZ POWER CORPORATION,2024,Philippines (the),PH,3511,"Electricity, gas, steam and air conditioning supply",3927,3438582.017,1986989.134,3794916.512,2892232.324,1671280.247,3191949.516
37507114,ABS-CBN CORPORATION,2000,Philippines (the),PH,2630,Manufacturing,5595,188080.0075,57451.81939,204348.7786,355318.7184,108537.3566,386053.5051
37507114,ABS-CBN CORPORATION,2001,Philippines (the),PH,2630,Manufacturing,5804,202501.5834,73240.56772,226375.3101,362211.6312,131004.3361,404914.2182
37507114,ABS-CBN CORPORATION,2002,Philippines (the),PH,2630,Manufacturing,6059,206379.2189,85971.95649,212190.2404,354162.5581,147534.4669,364134.7165
37507114,ABS-CBN CORPORATION,2003,Philippines (the),PH,2630,Manufacturing,6305,230546.033,95686.92608,196328.287,383396.1547,159126.5703,326492.3249
37507114,ABS-CBN CORPORATION,2004,Philippines (the),PH,2630,Manufacturing,6561,245291.4289,113473.4022,189281.1927,385224.9548,178207.5567,297262.074
37507114,ABS-CBN CORPORATION,2005,Philippines (the),PH,2630,Manufacturing,6198.5,326647.7971,122668.1599,193860.5797,484363.2022,181896.0461,287462.3127
37507114,ABS-CBN CORPORATION,2006,Philippines (the),PH,2630,Manufacturing,5836,362988.2791,45142.92144,197928.8462,512074.8167,63684.02108,279222.1773
37507114,ABS-CBN CORPORATION,2007,Philippines (the),PH,2630,Manufacturing,7406,492493.483,61028.64572,228668.7485,673460.1638,83453.61546,312693.0571
37507114,ABS-CBN CORPORATION,2008,Philippines (the),PH,2630,Manufacturing,4210,488061.2461,81354.89197,310320.1889,622694.7031,103796.9327,395923.1335
37507114,ABS-CBN CORPORATION,2009,Philippines (the),PH,2630,Manufacturing,4424.5,547372.1957,226087.6865,317422.1182,679753.3869,280766.6736,394190.2085
37507114,ABS-CBN CORPORATION,2010,Philippines (the),PH,2630,Manufacturing,4639,742156.5816,272452.9615,346252.5526,883049.0483,324175.9681,411985.8189
37507114,ABS-CBN CORPORATION,2011,Philippines (the),PH,2630,Manufacturing,4853.5,617154.1342,333334.9444,346979.4995,706624.6429,381659.4153,397282.0586
37507114,ABS-CBN CORPORATION,2012,Philippines (the),PH,2630,Manufacturing,5068,720413.641,376750.069,428959.818,808726.5293,422934.4898,481544.442
37507114,ABS-CBN CORPORATION,2013,Philippines (the),PH,2630,Manufacturing,5282.5,762885.482,428320.8099,417343.7528,839110.245,471117.0787,459043.2338
